MOVIE NAME ,MOVIE ID ,NUMBER OF RATINGS,
Star Wars (1977),50,583,
Contact (1997),258,509,
Fargo (1996),100,508,
Return of the Jedi (1983),181,507,
Liar Liar (1997),294,485,
English Patient. The (1996),286,481,
Scream (1996),288,478,
Toy Story (1995),1,452,
Air Force One (1997),300,431,
Independence Day (ID4) (1996),121,429,
Raiders of the Lost Ark (1981),174,420,
Godfather. The (1972),127,413,
Pulp Fiction (1994),56,394,
Twelve Monkeys (1995),7,392,
Silence of the Lambs. The (1991),98,390,
Jerry Maguire (1996),237,384,
Rock. The (1996),117,378,
Empire Strikes Back. The (1980),172,367,
Star Trek: First Contact (1996),222,365,
Back to the Future (1985),204,350,
Titanic (1997),313,350,
Mission: Impossible (1996),405,344,
Fugitive. The (1993),79,336,
Indiana Jones and the Last Crusade (1989),210,331,
Willy Wonka and the Chocolate Factory (1971),151,326,
Princess Bride. The (1987),173,324,
Forrest Gump (1994),69,321,
Monty Python and the Holy Grail (1974),168,316,
Saint. The (1997),748,316,
Full Monty. The (1997),269,315,
Men in Black (1997),257,303,
Terminator. The (1984),195,301,
E.T. the Extra-Terrestrial (1982),423,300,
Dead Man Walking (1995),9,299,
Leaving Las Vegas (1995),276,298,
Schindler's List (1993),318,298,
Braveheart (1995),22,297,
L.A. Confidential (1997),302,297,
Terminator 2: Judgment Day (1991),96,295,
Conspiracy Theory (1997),328,295,
Mr. Holland's Opus (1995),15,293,
Birdcage. The (1996),25,293,
Twister (1996),118,293,
Alien (1979),183,291,
When Harry Met Sally... (1989),216,290,
Aliens (1986),176,284,
Shawshank Redemption. The (1994),64,283,
Groundhog Day (1993),202,280,
Jaws (1975),234,280,
Apollo 13 (1995),28,276,
Amadeus (1984),191,276,
Blade Runner (1982),89,275,
Truth About Cats & Dogs. The (1996),111,272,
Sense and Sensibility (1995),275,268,
Usual Suspects. The (1995),12,267,
Ransom (1996),742,267,
One Flew Over the Cuckoo's Nest (1975),357,264,
Jurassic Park (1993),82,261,
2001: A Space Odyssey (1968),135,259,
Evita (1996),289,259,
Dances with Wolves (1990),97,256,
Raising Arizona (1987),238,256,
Chasing Amy (1997),268,255,
Broken Arrow (1996),546,254,
Four Weddings and a Funeral (1994),70,251,
Blues Brothers. The (1980),186,251,
Dead Poets Society (1989),196,251,
Game. The (1997),333,251,
Trainspotting (1996),475,250,
Fish Called Wanda. A (1988),153,247,
Wizard of Oz. The (1939),132,246,
Phenomenon (1996),125,244,
Star Trek: The Wrath of Khan (1982),228,244,
Die Hard (1988),144,243,
Casablanca (1942),483,243,
Sting. The (1973),194,241,
Devil's Own. The (1997),245,240,
Dante's Peak (1997),323,240,
Psycho (1960),185,239,
Graduate. The (1967),197,239,
Seven (Se7en) (1995),11,236,
Time to Kill. A (1996),282,232,
It's a Wonderful Life (1946),496,231,
In & Out (1997),301,230,
Speed (1994),568,230,
Hunt for Red October. The (1990),265,227,
Stand by Me (1986),655,227,
GoodFellas (1990),182,226,
Heat (1995),273,223,
Sound of Music. The (1965),143,222,
Clockwork Orange. A (1971),179,221,
Apocalypse Now (1979),180,221,
Courage Under Fire (1996),471,221,
Lion King. The (1994),71,220,
Top Gun (1986),161,220,
Babe (1995),8,219,
Aladdin (1992),95,219,
To Kill a Mockingbird (1962),427,219,
Volcano (1997),678,219,
Murder at 1600 (1997),322,218,
Mars Attacks! (1996),235,217,
Butch Cassidy and the Sundance Kid (1969),435,216,
People vs. Larry Flynt. The (1996),508,215,
